年,男,女
2019年,370969.0,382421.0
2018年,371093.0,382823.0
2017年,391750.0,404235.0
2016年,405153.0,418020.0
2015年,418565.0,432556.0
2014年,430630.0,444244.0
2013年,447631.0,461987.0
2012年,455965.0,469716.0
2011年,454972.0,467828.0
2010年,484411.0,497645.0
2009年,489896.0,503357.0
2008年,508367.0,520955.0
2007年,506470.0,519734.0
2006年,520173.0,535682.0
2005年,515916.0,529391.0
2004年,527122.0,538892.0
2003年,551784.0,562825.0
2002年,573955.0,584455.0
2001年,610753.0,622295.0
2000年,614968.0,626764.0
1995年,635178.0,647004.0
1990年,581650.0,592262.0
1985年,601673.0,610389.0
1980年,634352.0,643514.0
1975年,769670.0,783246.0
1970年,799637.0,818316.0
1965年,669209.0,688957.0
1960年,533963.0,553583.0
1955年,393252.0,411062.0
1950年,298124.0,308431.0
1947年,426348.0,426965.0
2019年,85989.0,74537.0
2018年,85055.0,73325.0
2017年,88577.0,76092.0
2016年,91431.0,78564.0
2015年,94385.0,80394.0
2014年,94760.0,81146.0
2013年,97354.0,82998.0
2012年,97076.0,83325.0
2011年,95279.0,82423.0
2010年,99675.0,86441.0
2009年,102289.0,88828.0
2008年,105120.0,92532.0
2007年,104797.0,91533.0
2006年,107431.0,91922.0
2005年,102184.0,88709.0
2004年,100208.0,88438.0
2003年,99760.0,88719.0
2002年,97647.0,87147.0
2001年,99111.0,87569.0
2000年,93191.0,81395.0
1995年,81400.0,69574.0
1990年,71765.0,61153.0
1985年,65815.0,57099.0
1980年,60095.0,50933.0
1975年,59869.0,46293.0
1970年,55723.0,37044.0
1965年,51066.0,31318.0
1960年,45945.0,26325.0
1955年,44736.0,26926.0
1950年,47920.0,37613.0
1947年,58086.0,57469.0
2019年,,
2018年,,
2017年,,
2016年,,
2015年,,
2014年,,
2013年,,
2012年,,
2011年,,
2010年,,
2009年,,
2008年,,
2007年,,
2006年,,
2005年,,
2004年,,
2003年,,
2002年,,
2001年,,
2000年,,
1995年,,
1990年,,
1985年,,
1980年,,
1975年,,
1970年,,
1965年,,
1960年,,
1955年,,
1950年,,
1947年,,
2019年,,
2018年,,
2017年,,
2016年,,
2015年,,
2014年,,
2013年,,
2012年,,
2011年,,
2010年,,
2009年,,
2008年,,
2007年,,
2006年,,
2005年,,
2004年,,
2003年,,
2002年,,
2001年,,
2000年,,
1995年,,
1990年,,
1985年,,
1980年,,
1975年,,
1970年,,
1965年,,
1960年,,
1955年,,
1950年,,
1947年,,
