îNåé,îÑè„
2013/8/1,3101882 
2013/9/1,2810424 
2013/10/1,2580128 
2013/11/1,2636550 
2013/12/1,1921817 
2014/1/1,1990003 
2014/2/1,2370325 
2014/3/1,2610497 
2014/4/1,2255256 
2014/5/1,2546138 
2014/6/1,2230389 
2014/7/1,3474942 
2014/8/1,3230538 
2014/9/1,4294128 
2014/10/1,3131856 
2014/11/1,4144898 
2014/12/1,3441335 
2015/1/1,4233198 
2015/2/1,5186162 
2015/3/1,4310356 
2015/4/1,4144051 
2015/5/1,4243835 
2015/6/1,3606810 
2015/7/1,7040283 
2015/8/1,3512500 
2015/9/1,3714860 
2015/10/1,21945549 
2015/11/1,4273851 
2015/12/1,3635597 
2016/1/1,5570854 
2016/2/1,8601397 
2016/3/1,6707576 
2016/4/1,6064703 
2016/5/1,7129328 
2016/6/1,6754166 
2016/7/1,6544894 
2016/8/1,6240246 
2016/9/1,11192706 
2016/10/1,11194412 
2016/11/1,10979945 
2016/12/1,11089001 
2017/1/1,14249905 
2017/2/1,14166189 
2017/3/1,15042098 
2017/4/1,15056437 
2017/5/1,16714251 
2017/6/1,13417970 
2017/7/1,17444556 
2017/8/1,17485087 
2017/9/1,20909566 
2017/10/1,18952534 
2017/11/1,17586233 
2017/12/1,17073955 
2018/1/1,19562265 
2018/2/1,20086123 
2018/3/1,23442824 
2018/4/1,23238247 
2018/5/1,21879136 
2018/6/1,22386074 
2018/7/1,23776683 
2018/8/1,28121818 
2018/9/1,25064573 
2018/10/1,28815406 
2018/11/1,27446995 
2018/12/1,46197985 
2019/1/1,38799507 
2019/2/1,39333554 
2019/3/1,39730351 
2019/4/1,38565073 
2019/5/1,36922106 
2019/6/1,33433115 
2019/7/1,28240529 
2019/8/1,33456909 
2019/9/1,32595067 
2019/10/1,30552200 
2019/11/1,31625653 
2019/12/1,26782617 
2020/1/1,37275989 
2020/2/1,44979613 
2020/3/1,42504453 
2020/4/1,27009239 
2020/5/1,35265484 
2020/6/1,37983949 
2020/7/1,42493263 
2020/8/1,41997927 
2020/9/1,45143541 
2020/10/1,48169680 
2020/11/1,34787272 
2020/12/1,35762310 
2021/1/1,44256189 
2021/2/1,42782535 
2021/3/1,127132501 
2021/4/1,37010464 
2021/5/1,36894017 
2021/6/1,34073086 
2021/7/1,30300210 
2021/8/1,32693233 
2021/9/1,36521162 
2021/10/1,34127423 
2021/11/1,31648149 
2021/12/1,27747862 
2022/1/1,35860848 
2022/2/1,11358322 
2022/3/1,4146905 
